"date","price","wilmington","imputed"
"1863-05-01",5,"FALSE","FALSE"
"1863-05-08",6.5,"FALSE","FALSE"
"1863-05-15",5.25,"FALSE","FALSE"
"1863-05-22",6,"FALSE","FALSE"
"1863-05-29",6.25,"FALSE","FALSE"
"1863-06-05",7,"FALSE","FALSE"
"1863-06-12",8,"FALSE","FALSE"
"1863-06-19",8.5,"FALSE","FALSE"
"1863-06-26",8.5,"FALSE","FALSE"
"1863-07-03",8.25,"FALSE","FALSE"
"1863-07-10",7.5,"FALSE","FALSE"
"1863-07-17",10,"FALSE","FALSE"
"1863-07-24",11,"FALSE","FALSE"
"1863-07-31",11,"FALSE","FALSE"
"1863-08-07",12,"FALSE","FALSE"
"1863-08-14",13,"FALSE","FALSE"
"1863-08-21",13,"FALSE","TRUE"
"1863-08-28",12,"FALSE","FALSE"
"1863-09-04",12,"FALSE","FALSE"
"1863-09-11",13,"FALSE","FALSE"
"1863-09-18",12.5,"FALSE","FALSE"
"1863-09-25",11.5,"FALSE","FALSE"
"1863-10-02",12.5,"FALSE","FALSE"
"1863-10-09",12.5,"FALSE","FALSE"
"1863-10-16",11.5,"FALSE","FALSE"
"1863-10-23",12.5,"FALSE","FALSE"
"1863-10-30",12.5,"FALSE","FALSE"
"1863-11-06",12.5,"FALSE","FALSE"
"1863-11-13",15,"FALSE","FALSE"
"1863-11-20",16.75,"FALSE","FALSE"
"1863-11-27",17,"FALSE","FALSE"
"1863-12-04",17,"FALSE","FALSE"
"1863-12-11",21,"FALSE","FALSE"
"1863-12-18",18,"FALSE","FALSE"
"1863-12-25",20,"FALSE","FALSE"
"1864-01-01",20,"FALSE","FALSE"
"1864-01-08",22,"FALSE","FALSE"
"1864-01-15",22,"FALSE","FALSE"
"1864-01-22",21,"FALSE","FALSE"
"1864-01-29",20.5,"FALSE","FALSE"
"1864-02-05",22,"FALSE","FALSE"
"1864-02-12",22.5,"FALSE","FALSE"
"1864-02-19",22,"FALSE","FALSE"
"1864-02-26",27,"FALSE","FALSE"
"1864-03-04",27.5,"FALSE","FALSE"
"1864-03-11",22,"FALSE","FALSE"
"1864-03-18",22,"FALSE","FALSE"
"1864-03-25",21.25,"FALSE","FALSE"
"1864-04-01",23,"FALSE","FALSE"
"1864-04-08",23,"FALSE","FALSE"
"1864-04-15",26,"FALSE","FALSE"
"1864-04-22",23,"FALSE","FALSE"
"1864-04-29",21,"FALSE","FALSE"
"1864-05-06",21.25,"TRUE","FALSE"
"1864-05-13",18,"TRUE","FALSE"
"1864-05-20",18,"TRUE","FALSE"
"1864-05-27",16,"TRUE","FALSE"
"1864-06-03",17,"TRUE","FALSE"
"1864-06-10",16,"TRUE","FALSE"
"1864-06-17",16,"TRUE","FALSE"
"1864-06-24",17,"TRUE","FALSE"
"1864-07-01",17,"TRUE","FALSE"
"1864-07-08",17,"TRUE","FALSE"
"1864-07-15",17,"TRUE","FALSE"
"1864-07-22",18,"TRUE","FALSE"
"1864-07-29",19,"TRUE","FALSE"
"1864-08-05",18,"TRUE","FALSE"
"1864-08-12",19,"TRUE","FALSE"
"1864-08-19",19,"TRUE","FALSE"
"1864-08-26",20,"TRUE","FALSE"
"1864-09-02",20,"FALSE","FALSE"
"1864-09-09",23,"FALSE","FALSE"
"1864-09-16",25,"FALSE","FALSE"
"1864-09-23",25,"FALSE","FALSE"
"1864-09-30",25,"FALSE","FALSE"
"1864-10-07",25,"TRUE","FALSE"
"1864-10-14",23,"TRUE","FALSE"
"1864-10-21",23,"TRUE","FALSE"
"1864-10-28",26,"TRUE","FALSE"
"1864-11-04",25,"FALSE","FALSE"
"1864-11-11",28,"FALSE","FALSE"
"1864-11-18",28,"FALSE","FALSE"
"1864-11-25",28,"FALSE","FALSE"
"1864-12-02",29,"FALSE","FALSE"
"1864-12-09",34.5,"FALSE","FALSE"
"1864-12-16",34.75,"FALSE","FALSE"
"1864-12-23",36,"TRUE","FALSE"
"1864-12-30",40,"FALSE","FALSE"
"1865-01-06",49.5,"FALSE","FALSE"
"1865-01-13",50,"FALSE","FALSE"
"1865-01-20",66.5,"FALSE","FALSE"
"1865-02-03",45,"FALSE","FALSE"
"1865-02-10",45,"TRUE","FALSE"
"1865-02-17",45,"TRUE","FALSE"
