page,bid_number,bidder,amount,value,accepted,rejected,errors,city,state
57,68,Merchants' Bank of New York,20,86,20,,,New York,NY
57,69,Citizens' Bank,20,85,20,,,New York,NY
57,70,Bank of Commerce,550,86,550,,,New York,NY
57,71,Merchants' Bank of New York,200,85,200,,,New York,NY
57,72,Charles E. Brewer,20,85.05,20,,,New York,NY
57,73,City Bank of New York,50,85,50,,,New York,NY
57,74,Bank of the State of New York,50,85,50,,,New York,NY
57,75,Great Western Insurance Company,50,85,50,,,New York,NY
57,76,"Ketchum, Son & Co. and others",1875,85.05,1875,,,New York,NY
57,77,Manufacturers and Merchants' Bank,10,85,10,,,New York,NY
57,78,B.F. Wheelright,20,85,20,,,New York,NY
57,79,James R. Langdon,10,85.25,10,,,Montpelier,VT
57,80,Charles Knapp,15,85.25,15,,,New York,NY
57,81,Carpenter & Vermilye,25,85.26,25,,,New York,NY
57,82,Grocers' Bank,10,85,10,,,New York,NY
57,83,C.M. Mather,1,90,1,,,New York,NY
57,84,Chemical Bank,50,85,50,,,New York,NY
57,85,Ticonic Bank,5,87,5,,,,ME
57,49,J.G. Hanson,2,84,,2,,New York,NY
57,48,Samuel Brooke,2,82,,2,,New York,NY
57,53,James McGinnis,2,60,,2,,Philadelphia,PA
57,15,F.L. Richmond,25,83,,25,,New York,NY
57,5,Charles H. Delavan,20,84,,20,,New York,NY
57,5,Charles H. Delavan,20,84.25,,20,,New York,NY
57,5,Charles H. Delavan,20,84.5,,20,,New York,NY
57,6,Evander Childs,1,84,,1,,New York,NY
58,6,S.L. Evans,1,85,1,,,Washington,DC
58,6,Nathaniel Tracy ,15,85,15,,,Boston,MA
58,6,Charles H. Russell,50,85,50,,,New York,NY
58,6,William V. Beady,8,85,8,,,New York,NY
58,6,John Q. Jones,30,85,30,,,New York,NY
58,6,William H. Hoople,10,85,10,,,New York,NY
58,6,T.C. Chardavoyne,10,85,10,,,New York,NY
58,6,Gabriel Mead,3,85,3,,,New York,NY
58,6,James Gallatin,50,85,50,,,New York,NY
58,6,Chatham Bank,10,85,10,,,New York,NY
58,6,Henry F. Vail,100,85,100,,,New York,NY
58,6,American Exchange Bank,196,85,196,,,New York,NY
58,6,"Livermore, Clews & Mason",25,85,25,,,New York,NY
